Date,Temperature Max (°F),Temperature Avg (°F),Temperature Min (°F),Wind Speed Max (mph),Wind Speed Avg (mph),Wind Speed Min (mph),Precipitation (in)
1/1/2021,55,44.2,35,13,6.5,0,0
1/2/2021,51,48.9,46,9,4.4,0,0.01
1/3/2021,54,48.6,46,8,4.4,0,0.01
1/4/2021,59,52.8,45,23,13.4,0,0.05
1/5/2021,58,43.5,35,10,5.5,0,0.07
1/6/2021,54,42.8,36,10,4.8,0,0
1/7/2021,53,44.6,38,14,6.5,0,0.03
1/8/2021,54,45.9,39,10,6.1,0,0.02
1/9/2021,56,45,36,9,6.4,3,0.01
1/10/2021,54,43.5,33,10,4.9,0,0
1/11/2021,59,44,37,8,3.3,0,0
1/12/2021,56,49.2,41,7,4.2,0,0
1/13/2021,65,54.5,49,13,8,0,0
1/14/2021,61,48.8,41,8,3.5,0,0
1/15/2021,62,47.2,38,9,2.8,0,0
1/16/2021,70,54,42,6,2.5,0,0
1/17/2021,72,54.3,41,8,3.2,0,0
1/18/2021,73,61.5,46,30,20.2,0,0
1/19/2021,66,55.1,46,31,19,9,0
1/20/2021,66,50.5,39,15,4.9,0,0
1/21/2021,63,46.6,31,15,5,0,0
1/22/2021,56,48.3,40,16,8,0,0
1/23/2021,59,45,39,13,6.5,0,0.05
1/24/2021,51,44.5,34,16,9.5,0,0
1/25/2021,54,44.4,36,15,7.4,0,0.11
1/26/2021,49,40.4,28,40,16.4,0,0
1/27/2021,50,46.1,40,38,22,9,1.09
1/28/2021,51,49,46,22,12.5,0,0.52
1/29/2021,53,46.9,44,12,4.8,0,0.45
1/30/2021,59,49.3,42,10,3.8,0,0.01
1/31/2021,64,54.5,48,8,3.8,0,0
2/1/2021,65,54,45,22,8.2,0,0
2/2/2021,59,53.8,45,12,8.5,0,0.22
2/3/2021,57,48.2,40,17,8.4,0,0.05
2/4/2021,63,50,39,16,10,6,0
2/5/2021,63,48,34,6,2.8,0,0
2/6/2021,63,47.4,34,6,2.4,0,0
2/7/2021,65,49.7,36,7,3.5,0,0
2/8/2021,61,50.8,37,9,3.6,0,0
2/9/2021,64,56.8,51,8,3.9,0,0
2/10/2021,67,55.4,45,9,4.4,0,0
2/11/2021,56,52.1,49,15,11.6,8,0
2/12/2021,60,50.8,41,14,4.9,0,0.53
2/13/2021,65,55.3,46,18,8.3,0,0
2/14/2021,55,49.5,41,9,4.3,0,0
2/15/2021,59,52.7,46,20,11.9,0,0
2/16/2021,62,48.7,41,13,5.2,0,0
2/17/2021,61,49.1,39,23,13.5,5,0
2/18/2021,59,49,34,8,2.5,0,0
2/19/2021,56,50.2,47,10,5.5,0,0.08
2/20/2021,58,49.4,43,17,8.5,0,0.1
2/21/2021,64,51.5,41,13,6.2,0,0
2/22/2021,68,52.5,39,7,2.3,0,0
2/23/2021,75,59.5,43,28,16.7,6,0
2/24/2021,65,54.4,41,33,17.9,3,0
2/25/2021,66,52,40,21,8.3,0,0
2/26/2021,67,50.2,33,13,3.9,0,0
2/27/2021,64,51.3,41,22,12.3,3,0
2/28/2021,64,52.3,41,17,5.6,0,0
3/1/2021,68,52.3,37,9,3.7,0,0
3/2/2021,71,53.2,38,9,5,0,0
3/3/2021,69,51.9,38,16,8.2,0,0
3/4/2021,64,53.1,44,13,9.2,5,0
3/5/2021,66,54.9,44,15,9.4,3,0
3/6/2021,61,51.1,44,21,6.9,0,0.17
3/7/2021,63,51,35,13,6.5,0,0
3/8/2021,58,50.1,44,18,11.5,5,0
3/9/2021,55,49.1,44,15,7.7,0,0
3/10/2021,54,45.5,37,16,9.1,0,0.18
3/11/2021,58,46.6,35,13,7,0,0.23
3/12/2021,69,52.5,36,18,6.5,0,0
3/13/2021,65,51.3,39,15,9.1,3,0
3/14/2021,57,49.6,42,14,11.8,8,0
3/15/2021,54,45.5,38,9,6.9,3,0.13
3/16/2021,59,47.1,35,9,5.8,0,0
3/17/2021,57,49,42,9,5,0,0
3/18/2021,56,53,49,10,5.9,0,0.02
3/19/2021,62,53.7,46,18,5.7,0,0.38
3/20/2021,62,49.9,41,8,5.2,0,0.37
3/21/2021,68,52.8,40,18,10.4,0,0
3/22/2021,65,53.3,45,10,5.5,0,0
3/23/2021,68,55.4,47,25,17.1,6,0
3/24/2021,68,55.9,41,15,8.3,0,0
3/25/2021,66,54,43,13,6.5,0,0
3/26/2021,74,57.8,46,18,11.3,0,0
3/27/2021,74,58.2,38,10,4.4,0,0
3/28/2021,79,62.3,44,12,4.5,0,0
3/29/2021,73,59.9,48,16,10.4,0,0
3/30/2021,77,63,51,30,20.4,10,0
3/31/2021,81,62.4,41,9,4.2,0,0
4/1/2021,84,65.8,47,9,4.3,0,0
4/2/2021,82,64.8,52,13,7,0,0
4/3/2021,72,57,47,15,10.3,5,0
4/4/2021,68,55.1,46,18,8.2,0,0
4/5/2021,70,56.7,48,14,8.6,3,0
4/6/2021,75,58.6,47,15,7.4,0,0
4/7/2021,74,56.7,46,15,12.1,8,0
4/8/2021,76,59.1,44,9,4.7,0,0
4/9/2021,75,59.5,49,15,9.1,0,0
4/10/2021,81,60.8,45,13,7.4,0,0
4/11/2021,83,63.9,43,12,6.4,0,0
4/12/2021,84,64.8,44,13,6.8,0,0
4/13/2021,77,60.5,49,22,12.3,3,0
4/14/2021,73,58.8,45,13,5.9,0,0
4/15/2021,75,60.3,49,14,7.9,0,0
4/16/2021,83,62.8,47,10,4.9,0,0
4/17/2021,87,68,46,20,10.2,0,0
4/18/2021,89,69.8,48,12,7.5,3,0
4/19/2021,85,66.3,50,13,8.3,3,0
4/20/2021,76,62,52,16,9.7,3,0
4/21/2021,80,61.5,48,16,6.3,0,0
4/22/2021,74,58.7,50,18,12,8,0
4/23/2021,75,57,47,17,10.5,5,0
4/24/2021,70,58.3,51,18,11.2,6,0
4/25/2021,61,55.1,49,23,12.7,7,0
4/26/2021,66,54.3,44,8,4.1,0,0.03
4/27/2021,79,62.3,44,16,7.7,0,0
4/28/2021,87,68,47,8,4.6,0,0
4/29/2021,89,71.1,55,12,6.4,3,0
4/30/2021,87,67.2,54,15,8.9,3,0
5/1/2021,83,64.5,51,18,9.9,3,0
5/2/2021,84,69.3,50,25,12.7,0,0
5/3/2021,88,74.3,62,23,16.1,7,0
5/4/2021,90,75.2,60,10,5.5,0,0
5/5/2021,93,74.7,56,13,6.1,0,0
5/6/2021,86,66.7,52,21,13.2,10,0
5/7/2021,81,65.7,53,16,7.5,3,0
5/8/2021,86,73,60,29,20.3,7,0
5/9/2021,88,75.4,65,23,13.8,5,0
5/10/2021,89,75.3,64,23,15,5,0
5/11/2021,93,75,55,9,4.3,0,0
5/12/2021,94,75,60,12,7.4,0,0
5/13/2021,89,68.3,53,13,9.3,5,0
5/14/2021,81,64,52,21,13,7,0
5/15/2021,75,61.3,51,20,10,0,0
5/16/2021,77,62.2,53,21,15.1,10,0
5/17/2021,76,62.4,50,21,11.3,7,0
5/18/2021,84,66.8,54,16,10.1,5,0
5/19/2021,77,63.3,52,20,11.9,0,0
5/20/2021,72,59.6,47,21,9.7,0,0
5/21/2021,74,63,50,20,13.3,5,0
5/22/2021,78,63.4,47,17,5.6,0,0
5/23/2021,78,64.9,52,17,9.8,0,0
5/24/2021,88,70.6,54,13,7.8,3,0
5/25/2021,83,70.9,61,15,7.7,0,0
5/26/2021,88,71.2,52,15,6.8,0,0
